seed,rule,score
17,global0.100_et10.025,0.709705055663738
17,global0.100_et10.050,0.709705055663738
17,global0.100_et10.075,0.7098261938578353
17,global0.100_et10.100,0.7110600167329424
17,global0.100_et10.125,0.7113478405234283
17,global0.100_et10.150,0.7122841701114432
17,global0.100_et10.200,0.7115941560313361
17,global0.100_et10.250,0.7123955262873283
17,global0.100_et10.300,0.7127803343722752
17,global0.150_et10.025,0.7110671781371615
17,global0.150_et10.050,0.7106658940280123
17,global0.150_et10.075,0.7109527557606571
17,global0.150_et10.100,0.7110642244581488
17,global0.150_et10.125,0.7114858096183511
17,global0.150_et10.150,0.711476140121745
17,global0.150_et10.200,0.7121483723716815
17,global0.150_et10.250,0.7137722969714027
17,global0.150_et10.300,0.713058117302813
17,global0.200_et10.025,0.7109211930670952
17,global0.200_et10.050,0.7111887158065281
17,global0.200_et10.075,0.711475577539173
17,global0.200_et10.100,0.7113321466728507
17,global0.200_et10.125,0.7118801636668177
17,global0.200_et10.150,0.7120139250365343
17,global0.200_et10.200,0.7125426869095696
17,global0.200_et10.250,0.7136263119013364
17,global0.200_et10.300,0.7127519894377566
17,global0.100_et20.025,0.709705055663738
17,global0.100_et20.050,0.7098388170334543
17,global0.100_et20.075,0.7097117714813309
17,global0.100_et20.100,0.7105249712540767
17,global0.100_et20.125,0.7113478405234283
17,global0.100_et20.150,0.7121504087417269
17,global0.100_et20.200,0.7115941560313361
17,global0.100_et20.250,0.7115726570179767
17,global0.100_et20.300,0.7127803343722752
17,global0.150_et20.025,0.7110671781371615
17,global0.150_et20.050,0.7106658940280123
17,global0.150_et20.075,0.7108093248943347
17,global0.150_et20.100,0.7106629403489994
17,global0.150_et20.125,0.7114858096183511
17,global0.150_et20.150,0.7113423787520285
17,global0.150_et20.200,0.7121483723716815
17,global0.150_et20.250,0.7128156663323346
17,global0.150_et20.300,0.713058117302813
17,global0.200_et20.025,0.7109211930670952
17,global0.200_et20.050,0.711475577539173
17,global0.200_et20.075,0.7109308625637012
17,global0.200_et20.100,0.7109308625637012
17,global0.200_et20.125,0.7114788795576684
17,global0.200_et20.150,0.7118801636668177
17,global0.200_et20.200,0.7129439710187189
17,global0.200_et20.250,0.7133384881108503
17,global0.200_et20.300,0.7130581901636136
17,global0.100_et40.025,0.709705055663738
17,global0.100_et40.050,0.7098388170334543
17,global0.100_et40.075,0.709703064042566
17,global0.100_et40.100,0.7105249712540767
17,global0.100_et40.125,0.7113478405234283
17,global0.100_et40.150,0.7122841701114432
17,global0.100_et40.200,0.7115941560313361
17,global0.100_et40.250,0.7122414638665587
17,global0.100_et40.300,0.7127803343722752
17,global0.150_et40.025,0.7110671781371615
