seed,rule,score
17,et4_mix0.25_w0.25,0.7106562296194738
17,et4_mix0.25_w0.30,0.7105043833027387
17,et4_mix0.50_w0.15,0.7101138213410239
17,et4_mix0.50_w0.20,0.7103793127984789
17,et4_mix0.50_w0.25,0.7102368605633059
17,et4_mix0.50_w0.30,0.7106381446724551
17,et4_mix0.75_w0.15,0.7103904789649943
17,et4_mix0.75_w0.20,0.7102358819321565
17,et4_mix0.75_w0.25,0.7105043833027388
17,et4_mix0.75_w0.30,0.7107912450353835
17,et015_rf10.025,0.7105269910508136
17,et015_rf10.050,0.7105142442236362
17,et015_rf10.075,0.7102355553176879
17,et015_rf10.100,0.7106339369472489
17,et015_rf10.125,0.7103596471907982
17,et015_rf10.150,0.710497616285721
17,et015_rf10.200,0.71050995235745
17,rf1_mix0.25_w0.15,0.7098261938578353
17,rf1_mix0.25_w0.20,0.7105142442236362
17,rf1_mix0.25_w0.25,0.7102423223347056
17,rf1_mix0.25_w0.30,0.7101030991935895
17,rf1_mix0.50_w0.15,0.7100895088720619
17,rf1_mix0.50_w0.20,0.7105014923083912
17,rf1_mix0.50_w0.25,0.7103596471907982
17,rf1_mix0.50_w0.30,0.710497616285721
17,rf1_mix0.75_w0.15,0.7096856654711012
17,rf1_mix0.75_w0.20,0.7103677309386748
17,rf1_mix0.75_w0.25,0.7103681862927692
17,rf1_mix0.75_w0.30,0.7103723940179757
17,et015_rf20.025,0.7105284480599171
17,et015_rf20.050,0.710526867399255
17,et015_rf20.075,0.709968032578255
17,et015_rf20.100,0.7103596471907982
17,et015_rf20.125,0.710497616285721
17,et015_rf20.150,0.710497616285721
17,et015_rf20.200,0.7106463407917109
17,rf2_mix0.25_w0.15,0.7102401011426037
17,rf2_mix0.25_w0.20,0.710526867399255
17,rf2_mix0.25_w0.25,0.7099747995952727
17,rf2_mix0.25_w0.30,0.709969337823873
17,rf2_mix0.50_w0.15,0.7098208838499213
17,rf2_mix0.50_w0.20,0.7104978077100125
17,rf2_mix0.50_w0.25,0.7103596471907982
17,rf2_mix0.50_w0.30,0.710497616285721
17,rf2_mix0.75_w0.15,0.7096744993045858
17,rf2_mix0.75_w0.20,0.7102191188040642
17,rf2_mix0.75_w0.25,0.7103596471907982
17,rf2_mix0.75_w0.30,0.7099625708068554
17,et015_rfsqrt0.025,0.7099656199618617
17,et015_rfsqrt0.050,0.7107917630741435
17,et015_rfsqrt0.075,0.7107899909891903
17,et015_rfsqrt0.100,0.7102326528380996
17,et015_rfsqrt0.125,0.7102326528380996
17,et015_rfsqrt0.150,0.7099651300986668
17,et015_rfsqrt0.200,0.7099693378238731
17,rfsqrt_mix0.25_w0.15,0.7103780702375264
17,rfsqrt_mix0.25_w0.20,0.7107917630741435
17,rfsqrt_mix0.25_w0.25,0.7101085609649891
17,rfsqrt_mix0.25_w0.30,0.7098313687289503
17,rfsqrt_mix0.50_w0.15,0.7103780702375264
17,rfsqrt_mix0.50_w0.20,0.7095475049518871
17,rfsqrt_mix0.50_w0.25,0.7102326528380996
17,rfsqrt_mix0.50_w0.30,0.7099651300986668
17,rfsqrt_mix0.75_w0.15,0.7101105474980937
17,rfsqrt_mix0.75_w0.20,0.7090027899764154
17,rfsqrt_mix0.75_w0.25,0.7091284675982553
17,rfsqrt_mix0.75_w0.30,0.7099539639321512
